Identifier,Depth,Real depth,Label on bag,Bag name,Bag (g),Wet sediment+bag(g),Dry sediment (g)+bag,total dry sediment,Length of piece (cm),Length validity,Comments,aluminium?,Actual sample weight,Bag+aluminium paper,Aluminium paper,volume of section,density
91,64,62,91-92,,,33.5279,22.1308,22.1308,1,1,,n,,,,14.13,1.566227884
92,65,63,92-93,,,36.3999,24.603,24.603,1.1,1,,n,,,,15.543,1.582899054
93,66,64,93-94,,,24.7073,17.1953,17.1953,0.7,1,,n,,,,9.891,1.738479426
94,67,65,94-95,,5.05,34.696,23.258,18.208,,0,,n,,,,0,#DIV/0!
95,68,66,95-96,,5.05,32.261,21.853,16.803,,0,,n,,,,0,#DIV/0!
96,69,67,96-97,,,28.0862,19.5691,19.5691,0.7,1,,n,,,,9.891,1.978475382
97,70,68,97-98,,,23.1377,16.2329,16.2329,0.7,1,,n,,,,9.891,1.641178849
98,71,69,98-99,,,28.003,18.314,18.314,,0,,n,,,,0,#DIV/0!
99,72,70,99-100,,,12.1893,8.3028,8.3028,,0,small piece,n,,,,0,#DIV/0!
100,73,71,100-101,,5.076,19.7472,14.0107,8.9347,,0,small piece,n,,,,0,#DIV/0!
101,74,72,101-102,,5.123,25.6751,17.8979,12.7749,1,1,,n,,,,14.13,0.904097665
102,75,73,102-103,,5.091,,21.4053,16.3143,0.9,1,,n,,,,12.717,1.282873319
103,76,74,103-104,,5.108,31.7289,21.7582,16.6502,1.3,1,,n,,,,18.369,0.90642931
104,77,75,104-105,,5.073,35.621,23.8262,18.7532,1,1,,n,,,,14.13,1.327190375
105,78,76,105-106,,5.071,36.3203,24.6048,19.5338,1.3,1,,n,,,,18.369,1.063411182
106,79,77,106-107,,5.11,28.5848,19.9382,14.8282,1,1,,n,,,,14.13,1.049412597
107,80,78,107-108,,5.103,25.5185,17.7699,12.6669,,0,small piece,n,,,,0,#DIV/0!
108,81,79,108-109,,5.099,36.5561,24.5902,19.4912,1.1,1,,n,,,,15.543,1.254017886
109,82,80,109-110,,5.111,,26.5354,21.4244,,0,,n,,,,0,#DIV/0!
110,83,81,110-111,,5.161,41.478,27.6175,22.4565,1.6,1,,n,,,,22.608,0.993298832
111,84,82,111-112,,5.068,32.5929,21.5572,16.4892,1.3,1,,n,,,,18.369,0.897664544
112,85,83,112-113,,5.053,28.5595,19.1428,14.0898,0.7,1,,n,,,,9.891,1.424507128
113,86,84,113-114,,5.064,34.857,10.354,5.29,1.3,1,,n,,,,18.369,0.287985192
114,87,85,114-115,,5.073,35.3327,23.5407,18.4677,1.2,1,,n,,,,16.956,1.089154282
115,88,86,115-116,,5.022,26.6669,17.8083,12.7863,1,1,,n,,,,14.13,0.904904459
116,89,87,116-117,,5.109,33.1353,22.5246,17.4156,1.3,1,,n,,,,18.369,0.948097338
117,90,88,117-118,,5.136,40.6728,27.2205,22.0845,,0,,n,,,,0,#DIV/0!
118,91,89,118-119,,5.071,35.8723,24.0753,19.0043,1.3,1,n,n,,,,18.369,1.034585443
119,92,90,119-120,,5.07,,20.844,15.774,,0,,n,,,,0,#DIV/0!
120,93,91,120-121,,5.081,31.5245,21.3614,16.2804,1.1,1,,n,,,,15.543,1.047442579
121,94,92,121-122,,5.083,30.2636,20.6789,15.5959,,0,small piece,n,,,,0,#DIV/0!
122,95,93,122-123,,,,,0,,0,,n,,,,0,#DIV/0!
123,96,94,123-124,,5.083,27.0132,18.5922,13.5092,,0,small piece,n,,,,0,#DIV/0!
124,97,95,124-125,,5.1,26.5816,18.3816,13.2816,0.7,1,,n,,,,9.891,1.342796482
125,98,96,125-126,,5.111,22.2336,,-5.111,,0,small piece,n,,,,0,#DIV/0!
126,99,97,126-127,,5.073,,30.324,23.951,1,1,,y,24.6867,6.2317,1.0089,14.13,1.695046001
127,100,98,127-128,,5.096,32.9836,22.526,16.13,1.2,1,,y,15.3432,,0.5147,16.956,0.951285681
128,101,99,128-129,,5.054,29.426,20.868,14.514,1,1,,y,13.7621,,1.1498,14.13,1.027176221
129,102,100,129-130,,5.112,33.139,22.648,16.236,0.8,1,,y,16.254,,1.4105,11.304,1.436305732
130,103,101,130-131,,5.102,35.0029,23.7829,17.3809,1.2,1,,y,17.258,,1.4229,,
131,104,102,131-132,,5.138,36.1327,24.7482,18.3102,1.5,1,,y,18.0202,,1.59,,
132,105,103,132-133,,,36.8779,25.8512,24.5512,0.9,1,,y,19.088,,1.3363,,
133,106,104,133-134,,,22.0057,24.7222,23.4222,1,1,wrong weight?,,18.7042,,1.6838,,
134,107,105,134-135,,5.08,35.352,24.607,18.227,0.9,1,,y,,,,,
135,108,106,135-136,,5.05,47.1071,32.2064,25.8564,1.5,1,,y,27.2214,,1.0271,,
136,109,107,136-137,,5.042,28.7864,20.4328,14.0908,1,1,,y,14.6596,,1.1343,,
