Sample Name,Result 0.01µm-7.00µm,Result 7.00µm-63.00µm,Result 63.00µm-1000.00µm,Measurement date and time
31,9.032,68.502,22.466,"Friday, 4 October 2019 2:58:32 PM"
31,9.296,69.301,21.403,"Friday, 4 October 2019 2:59:13 PM"
31,9.29,69.812,20.899,"Friday, 4 October 2019 2:59:53 PM"
31 - Average,9.206,69.205,21.589,"Friday, 4 October 2019 2:58:32 PM"
66,13.225,68.065,18.71,"Friday, 4 October 2019 3:03:45 PM"
66,15.097,71.131,13.773,"Friday, 4 October 2019 3:04:26 PM"
66,16.36,70.795,12.845,"Friday, 4 October 2019 3:05:06 PM"
66 - Average,14.894,69.997,15.109,"Friday, 4 October 2019 3:03:45 PM"
36,11.773,68.323,19.903,"Friday, 4 October 2019 3:11:05 PM"
36,11.943,69.284,18.773,"Friday, 4 October 2019 3:11:45 PM"
36,12.242,69.932,17.826,"Friday, 4 October 2019 3:12:26 PM"
36 - Average,11.986,69.18,18.834,"Friday, 4 October 2019 3:11:05 PM"
33,6.179,62.927,30.894,"Friday, 4 October 2019 3:18:13 PM"
33,6.159,63.357,30.484,"Friday, 4 October 2019 3:18:53 PM"
33,6.121,63.732,30.147,"Friday, 4 October 2019 3:19:34 PM"
33 - Average,6.153,63.339,30.508,"Friday, 4 October 2019 3:18:13 PM"
64,13.504,64.851,21.645,"Friday, 4 October 2019 3:28:52 PM"
64,14.964,68.04,16.996,"Friday, 4 October 2019 3:29:33 PM"
64,15.424,67.666,16.91,"Friday, 4 October 2019 3:30:13 PM"
64 - Average,14.631,66.852,18.517,"Friday, 4 October 2019 3:28:52 PM"
56,12.594,62.837,24.57,"Friday, 4 October 2019 3:34:56 PM"
56,13.413,62.947,23.64,"Friday, 4 October 2019 3:35:36 PM"
56,14.049,63.222,22.729,"Friday, 4 October 2019 3:36:17 PM"
56 - Average,13.352,63.002,23.646,"Friday, 4 October 2019 3:34:56 PM"
60,23.361,57.902,18.736,"Friday, 4 October 2019 3:40:16 PM"
60,23.454,57.513,19.033,"Friday, 4 October 2019 3:40:57 PM"
60,23.713,57.422,18.865,"Friday, 4 October 2019 3:41:38 PM"
60 - Average,23.51,57.613,18.878,"Friday, 4 October 2019 3:40:16 PM"
0,20.893,64.913,14.194,"Friday, 4 October 2019 3:46:49 PM"
0,20.968,64.869,14.164,"Friday, 4 October 2019 3:47:30 PM"
0,21.024,64.869,14.108,"Friday, 4 October 2019 3:48:10 PM"
0 - Average,20.961,64.884,14.155,"Friday, 4 October 2019 3:46:49 PM"
132,44.985,54.581,0.434,"Friday, 4 October 2019 3:55:02 PM"
132,47.009,52.648,0.343,"Friday, 4 October 2019 3:55:43 PM"
132,46.987,52.806,0.207,"Friday, 4 October 2019 3:56:23 PM"
132 - Average,46.327,53.345,0.328,"Friday, 4 October 2019 3:55:02 PM"
161,69.74,28.082,2.178,"Friday, 4 October 2019 4:00:11 PM"
161,70.497,27.685,1.818,"Friday, 4 October 2019 4:00:52 PM"
161,70.23,28.268,1.502,"Friday, 4 October 2019 4:01:32 PM"
161 - Average,70.156,28.011,1.833,"Friday, 4 October 2019 4:00:11 PM"
