Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data     13/10/2017  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Zn,Se,Br,Rb,Sr,Y,Zr,Sn,Cs,Ba,La,Ce,Pr,Nd,Hf,Ta,Pb,Bi,Mo inc,Mo coh,Tube,Location
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000060.spe,124.85,5.77,1,0.018673,-0.004017,0.009223,0.089663,47061.29688,1.14,17,49,24,29,0,0,227,0,45,39,611,94,5109,929,352,0,142,0,0,0,0,580,0,12,0,13,105,88,11,100,232,92,74,72938,12280,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000061.spe,125.85,5.8,1,0.018673,-0.004017,0.009223,0.089663,46235.65234,1.1,12,17,14,0,0,0,261,0,36,36,144,57,778,676,299,0,113,166,0,0,0,458,0,12,35,20,98,70,27,17,432,38,28,73577,12428,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000062.spe,126.85,5.8,1,0.018673,-0.004017,0.009223,0.089663,46391.39844,1.05,0,39,8,28,0,0,252,0,46,17,182,69,596,799,279,0,86,0,0,121,162,514,0,0,31,30,51,49,49,49,377,72,104,74747,12452,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000063.spe,127.85,5.8,1,0.018673,-0.004017,0.009223,0.089663,46752.05078,1.15,0,41,20,28,6,0,217,0,56,95,220,36,1237,732,401,0,0,120,0,0,0,522,0,0,0,31,57,57,55,64,156,105,164,74301,12446,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000064.spe,128.85,5.8,1,0.018673,-0.004017,0.009223,0.089663,46634.02344,1.08,0,0,0,6,0,0,220,0,78,34,147,0,973,804,213,53,119,93,52,0,0,350,0,0,32,29,49,48,39,9,501,146,12,73420,12576,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000065.spe,129.85,5.81,1,0.018673,-0.004017,0.009223,0.089663,46731.61719,1.07,16,23,9,51,18,10,236,0,50,52,197,10,587,787,331,35,26,0,0,0,0,127,19,28,0,24,92,70,56,50,276,35,164,75201,12537,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000066.spe,130.85,5.81,1,0.018673,-0.004017,0.009223,0.089663,46293.11719,1.16,7,11,22,0,0,0,234,0,54,34,102,0,229,767,262,0,0,6,0,0,0,413,0,0,0,26,46,91,69,14,230,0,0,74343,12464,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000067.spe,131.85,5.81,1,0.018673,-0.004017,0.009223,0.089663,46277.94531,1.11,0,31,35,0,0,4,231,0,32,22,143,0,213,733,146,0,117,42,105,0,0,482,0,0,21,39,37,28,64,27,239,100,57,73821,12473,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000068.spe,132.85,5.81,1,0.018673,-0.004017,0.009223,0.089663,45965.77344,1.15,0,0,5,20,0,0,274,0,48,43,275,48,1435,851,264,0,21,22,0,282,22,563,0,15,31,33,34,49,48,94,242,55,106,72863,12530,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000069.spe,133.85,5.91,1,0.018673,-0.004017,0.009223,0.089663,42458.75391,1.32,0,14,0,23,0,0,339,6,44,22,61,18,691,912,227,0,0,0,0,284,282,434,0,16,15,7,0,34,0,61,61,0,0,73510,11947,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000070.spe,134.85,6.03,1,0.018673,-0.004017,0.009223,0.089663,41132.47266,1.58,0,0,8,26,0,0,373,17,25,23,21,0,190,872,134,0,0,0,381,386,353,998,0,0,0,0,10,7,0,27,68,0,0,73659,11774,Mo,1
