Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data     13/10/2017  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Zn,Se,Br,Rb,Sr,Y,Zr,Sn,Cs,Ba,La,Ce,Pr,Nd,Hf,Ta,Pb,Bi,Mo inc,Mo coh,Tube,Location
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000063.spe,66.61,6.69,1,0.018664,-0.008152,0.009506,0.092334,44444.66797,1.39,0,109,100,77,55,42,146,0,28,41,39,64,2147,827,144,11,29,124,0,151,98,569,0,0,0,0,5,0,0,77,289,89,87,116937,17275,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000064.spe,67.61,6.69,1,0.018664,-0.008152,0.009506,0.092334,44244.42578,1.36,0,72,70,76,64,24,118,0,16,84,18,20,2034,763,257,0,0,198,0,142,300,504,19,0,0,0,35,0,0,35,98,0,63,116882,17427,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000065.spe,68.61,6.7,1,0.018664,-0.008152,0.009506,0.092334,44386.48828,1.54,0,72,100,86,50,14,121,0,0,37,25,0,2272,819,200,0,27,334,78,103,162,424,0,0,0,6,0,0,0,68,284,0,49,116833,16958,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000066.spe,69.61,6.69,1,0.018664,-0.008152,0.009506,0.092334,43938.77344,1.39,0,97,124,89,38,36,93,6,21,66,17,0,2041,677,205,0,48,461,0,59,221,463,0,0,0,13,0,0,0,22,151,5,31,115676,16931,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000067.spe,70.61,6.67,1,0.018664,-0.008152,0.009506,0.092334,43994.87109,1.54,0,102,127,109,67,49,64,17,11,54,16,0,2075,762,205,0,31,486,12,0,169,486,0,0,0,0,0,0,0,54,134,0,46,115387,17155,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000068.spe,71.61,6.69,1,0.018664,-0.008152,0.009506,0.092334,44430.625,1.48,0,92,82,66,79,24,109,12,34,41,61,13,2225,713,193,0,52,505,0,208,257,278,0,0,0,0,0,0,14,16,236,0,65,117083,16940,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000069.spe,72.61,6.71,1,0.018664,-0.008152,0.009506,0.092334,44515.03125,1.57,0,54,91,127,65,58,122,0,15,21,39,0,1914,773,297,0,0,255,101,0,199,283,0,0,0,7,0,0,0,67,140,0,22,117862,17390,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000070.spe,73.61,6.73,1,0.018664,-0.008152,0.009506,0.092334,44589.80859,1.61,0,73,107,94,88,46,87,26,24,64,16,47,1986,766,215,0,13,381,13,96,226,414,0,0,0,0,0,29,0,34,181,0,18,117250,17319,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000071.spe,74.61,6.68,1,0.018664,-0.008152,0.009506,0.092334,44296,1.44,0,77,79,66,47,59,123,0,16,0,57,39,2057,656,159,0,0,359,0,61,130,420,11,0,0,9,0,0,43,40,184,0,28,115951,17065,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000072.spe,75.61,6.67,1,0.018664,-0.008152,0.009506,0.092334,44374.05859,1.43,0,52,105,94,62,69,73,20,25,68,10,0,1981,706,267,0,98,418,0,74,135,602,0,0,0,0,0,0,0,46,109,0,70,115849,16987,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000073.spe,76.61,6.71,1,0.018664,-0.008152,0.009506,0.092334,44504.23438,1.52,0,95,99,74,38,68,91,0,0,68,26,25,2136,737,239,0,0,476,12,7,126,566,4,0,0,0,0,7,10,7,180,0,0,116658,17653,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000074.spe,77.61,6.69,1,0.018664,-0.008152,0.009506,0.092334,44273.49609,1.38,0,80,97,100,73,30,73,20,29,36,19,10,2094,733,191,0,0,597,0,105,311,508,0,0,0,0,8,0,12,31,172,38,61,115630,17767,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000075.spe,78.61,6.68,1,0.018664,-0.008152,0.009506,0.092334,44294.63281,1.42,0,91,75,77,40,34,91,28,43,46,37,13,1939,810,203,0,71,473,0,70,107,641,12,0,0,0,0,0,9,50,197,0,68,116806,17164,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000076.spe,79.61,6.69,1,0.018664,-0.008152,0.009506,0.092334,44396.83594,1.5,0,55,109,63,60,34,123,0,26,90,27,31,2049,744,153,64,0,555,0,189,178,551,0,0,0,0,26,6,0,60,139,29,92,117263,17399,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000077.spe,80.61,6.71,1,0.018664,-0.008152,0.009506,0.092334,44456.41797,1.52,0,77,78,105,45,39,106,0,20,106,17,0,2293,723,141,0,0,493,0,170,204,164,7,0,0,0,20,22,0,34,324,0,0,117663,17038,Cr,2
