P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data     19/12/2017  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Br,Rb,Sr,Y,Zr,Pd,Sn,Ba,Ta,Pb,Mo inc,Mo coh,Tube,Location
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000037.spe,93.64,6.53,1,0.018657,-0.005509,0.008729,0.098113,32073.51953,1.2,0,17,94,9,0,34,2154,34,613,384,386,0,967,0,329,326,20,0,67,15,211,88,0,142,35,0,30,199,0,37109,32392,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000038.spe,94.64,6.5,1,0.018657,-0.005509,0.008729,0.098113,34044.71094,1.05,35,25,69,17,16,14,1711,0,583,473,287,143,1486,121,434,389,0,0,12,0,142,85,17,136,21,0,0,337,0,39229,34812,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000039.spe,95.64,6.4,1,0.018657,-0.005509,0.008729,0.098113,35154.56641,1.43,0,39,21,7,19,0,1563,0,522,418,344,0,993,391,272,318,0,72,282,57,32,0,29,155,42,0,0,339,0,41359,36925,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000040.spe,96.64,6.49,1,0.018657,-0.005509,0.008729,0.098113,32012.20703,1.08,0,31,19,22,0,7,2218,0,446,272,354,0,485,22,293,139,0,0,0,12,0,135,76,0,68,0,20,385,0,38775,32827,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000041.spe,97.64,6.5,1,0.018657,-0.005509,0.008729,0.098113,33060.26172,1.05,21,22,58,10,14,30,2099,0,457,232,304,0,453,0,363,416,0,132,0,0,37,0,139,149,8,0,46,261,0,38789,34235,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000042.spe,98.64,6.43,1,0.018657,-0.005509,0.008729,0.098113,34427.80859,1.12,22,46,33,0,20,17,1457,0,412,140,343,0,272,56,405,375,0,43,57,70,0,0,0,181,38,0,65,286,61,38693,34596,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000043.spe,99.64,6.37,1,0.018657,-0.005509,0.008729,0.098113,34429.77734,1.35,6,20,12,15,0,7,1355,20,399,214,323,0,233,296,358,412,0,207,97,6,59,142,34,285,29,0,0,269,0,38590,33919,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000044.spe,100.64,6.34,1,0.018657,-0.005509,0.008729,0.098113,33221.46094,1.13,20,20,52,19,16,39,1366,0,599,276,263,0,472,0,362,469,0,131,174,78,0,58,0,42,46,7,6,284,0,37666,34417,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000045.spe,101.64,6.38,1,0.018657,-0.005509,0.008729,0.098113,33294.54688,1.26,0,23,58,7,11,12,1442,16,540,319,261,0,937,299,401,501,0,0,0,73,0,0,21,65,24,0,21,98,58,37998,35142,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000046.spe,102.64,6.38,1,0.018657,-0.005509,0.008729,0.098113,33714.11719,1.16,0,34,58,10,0,51,1512,11,396,322,305,0,718,250,403,505,0,184,267,46,29,113,0,32,29,5,0,149,0,36917,36597,Cr,1
