"","Identifier","lc.result","med.result","uc.result","CT","dT","CR","dR","HyPy treatment","Sample.weight","Catalyst","% Catalyst","Pre.Sample.Weight","Pre HyPy Insert Weight (g)","Post HyPy Insert Weight (g)","Post.Sample.Weight","av_d13C","av_C","av_Cpost","av_d13Cpost","PreHypy.X.C","C.pre.mg","C.post.mg","Ratio.BCTOC","BlackCarbon.Perc","Corrected","Dry_bulk_density2","Water","Depth","max","min","median","mean","yearbetsamples","sedrate","sedrate.mm","MAR","sed.rate.inv","PyCxMAR"
"42",106,-25.0187775920729,-24.9163602834964,-24.810806973646,0.746666666666667,-25.83,0.24,-24.93,"550-8/min",0.3201,0.0158,4.9359575132771,0.149971,0.821169,0.809737,0.138539,-25.83,0.746666666666667,0.24,-24.93,0.71154510270914,1.06711130598392,0.3324936,31.1582866881376,0.232648540604761,0.225100137847804,1.04941259731069,30.2489434944446,79,21138,22592,21868,21867,200,0.005,0.05,5.24706298655343,200,0.118111460156929
"43",108,-24.971882207806,-24.8560733127821,-24.7268471250034,0.85,-26.085,0.1,-24.91,"550-8/min",0.1787,0.0181,10.1287073307219,0.165071,0.857052,0.843239,0.151258,-26.085,0.85,0.1,-24.91,0.77182418699187,1.27405790370935,0.151258,11.8721448655999,0.1009132313576,0.0955345405466663,0.99,32.7329775331614,81,21440,23063,22206,22217,149,0.00671140939597315,0.0671140939597315,6.64429530201342,149,0.0634759698934226
"44",109,-24.9838370154949,-24.8785694258832,-24.7731875010712,0.7,-25.92,0.2,-24.9,"550-8/min",0.3463,0.0191,5.51544903263067,0.123252,0.791248,0.780968,0.112972,-25.92,0.7,0.2,-24.9,0.663409961685824,0.817666045977012,0.225944,27.6327971684362,0.193429580179054,0.186836843312798,0.99,NA,82,21565,23165,22363,22366,149,0.00671140939597315,0.0671140939597315,6.64429530201342,149,0.124139916026624
"45",113,-24.5490141507497,-24.4467512322245,-24.345000455,0.633333333333333,-25.58,0.3,-24.46,"550-8/min",0.2245,0.0188,8.37416481069042,0.169815,0.85497,0.830305,0.14515,-25.58,0.633333333333333,0.3,-24.46,0.584395122619537,0.992390577476366,0.43545,43.8788930369878,0.277899655900922,0.269917309706787,0.984333333,70.2957799007373,86,22140,23680,22983,22961,148,0.00675675675675676,0.0675675675675676,6.65090089864865,148,0.179519327768969
"46",128,-23.6219154960209,-23.5117912780859,-23.3985047501137,0.466666666666667,-25.0366666666667,0.1,-23.55,"550-8/min",0.2662,0.0181,6.79939894815928,0.128193,0.793382,0.781315,0.116126,-25.0366666666667,0.466666666666667,0.1,-23.55,0.436956266854262,0.560147347168484,0.116126,20.7313308876693,0.0967462108091233,0.0929825596167875,1.03780608634112,29.0831237680962,101,23480,25281,24262,24296,61,0.0163934426229508,0.163934426229508,17.0132145301823,61,0.158193223432587
"47",130,-24.426407450567,-24.3206494402398,-24.2100467287105,0.7,-26.385,0.2,-24.36,"550-8/min",0.2335,0.0167,7.15203426124197,0.194622,0.875371,0.85831,0.177561,-26.385,0.7,0.2,-24.36,0.653277378097522,1.27142149880096,0.355122,27.9310991936903,0.195517694355832,0.188884014074345,1.01781080443501,32.0544869139414,103,23570,25414,24385,24419,61,0.0163934426229508,0.163934426229508,16.6854230235247,61,0.315160967721185
"48",133,-24.3453365404841,-24.2143613820788,-24.0465854949187,1.1,-25.975,0.1,-24.31,"550-8/min",0.2355,0.0166,7.04883227176221,0.19272,0.871865,0.857767,0.178622,-25.975,1.1,0.1,-24.31,1.02756842522808,1.98032986909956,0.178622,9.01981042588716,0.0992179146847588,0.0928724653772145,0.99,-12.3445289175077,106,23708,25713,24584,24631,89,0.0112359550561798,0.112359550561798,11.123595505618,89,0.103307573846564
"49",134,-24.2759865183014,-24.1731587139134,-24.0676267535493,0.49,-25.245,0.18,-24.19,"550-8/min",0.0852,0.0056,6.57276995305164,0.077794,0.756325,0.749281,0.07075,-25.245,0.49,0.18,-24.19,0.459779735682819,0.357681047577092,0.12735,35.6043466274381,0.174461298474447,0.169080488700438,0.99,30.3943199818964,107,23783,25794,24675,24720,90,0.0111111111111111,0.111111111111111,11,90,0.185988537570482
"50",135,-24.3067396896878,-24.2041275310751,-24.09799774392,0.7,-24.56,0.2,-24.21,"550-8/min",0.2353,0.0127,5.39736506587335,0.169441,0.854487,0.840067,0.155021,-24.56,0.7,0.2,-24.21,0.664153225806452,1.12534786733871,0.310042,27.5507697662596,0.192855388363817,0.186273910160605,0.99,31.6315374964708,108,23841,25931,24755,24810,89,0.0112359550561798,0.112359550561798,11.123595505618,89,0.207203562987639
"51",136,-25.0963890623734,-24.9951573991858,-24.8955119249017,0.6,-26.63,0.4,-25.01,"550-8/min",0.227,0.0144,6.34361233480176,0.14474,0.852473,0.84093,0.133197,-26.63,0.6,0.4,-25.01,0.564208782104391,0.816635791217896,0.532788,65.2418135146174,0.391450881087704,0.381375373615396,1.0089525831564,29.0192590945724,109,23910,26126,24838,24899,90,0.0111111111111111,0.111111111111111,11.2105842572934,90,0.427544075957214
"52",142,-24.4242006890779,-24.3085161637013,-24.1902873597704,0.65,-25.715,0.1,-24.36,"550-8/min",0.2414,0.0191,7.91217895608948,0.163185,0.845748,0.831467,0.148904,-25.715,0.65,0.1,-24.36,0.602341650671785,0.982931222648752,0.148904,15.1489744723686,0.0984683340703958,0.0939375824219567,0.912885840274375,30.4815961368617,115,24420,26970,25589,25621,130,0.00769230769230769,0.0769230769230769,7.02219877134135,130,0.0659648375866241
"53",144,-23.6257344171728,-23.517566547044,-23.407696945403,0.433333333333333,-24.86,0.1,-23.55,"550-8/min",0.2625,0.0218,8.30476190476191,0.195084,0.925029,0.909636,0.179691,-24.86,0.433333333333333,0.1,-23.55,0.400105522335561,0.780541857193106,0.179691,23.0213150446773,0.0997590318602682,0.0960696390786944,0.99,30.6272481424108,117,24706,27121,25855,25882,131,0.00763358778625954,0.0763358778625954,7.55725190839695,131,0.0726022463266469
"54",150,-24.1318595774174,-24.0148737972549,-23.8916112936904,0.475,-27.0225,0.1,-24.09,"550-8/min",0.2782,0.0227,8.15959741193386,0.158681,0.843434,0.830805,0.146052,-27.0225,0.475,0.1,-24.09,0.439165835825856,0.696872739946826,0.146052,20.9582024992317,0.0995514618713504,0.0956994724228926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",152,-24.2512141338868,-24.1376049171665,-24.0133972967997,0.7,-25.36,0.1,-24.18,"550-8/min",0.2368,0.0133,5.61655405405405,0.17983,0.86742,0.851667,0.164077,-25.36,0.7,0.1,-24.18,0.662774890043982,1.19186808476609,0.164077,13.7663724783939,0.0963646073487573,0.0916751052438797,0.909837225760792,30.6493223356709,127,25913,28301,27205,27181,125,0.008,0.08,7.27869780608634,125,0.0667275387411361
"56",153,-24.0619386252077,-23.9404771181821,-23.8035913418494,0.7,-26.1,0.1,-24.02,"550-8/min",0.2375,0.0153,6.4421052631579,0.176472,0.888982,0.875011,0.162501,-26.1,0.7,0.1,-24.02,0.657634493670886,1.16054074367089,0.162501,14.0021796637657,0.0980152576463598,0.0932933898493724,0.99,33.7109992810927,128,26037,28365,27348,27306,126,0.00793650793650794,0.0793650793650794,7.85714285714286,126,0.073301949167364
"57",155,-24.3815415216763,-24.2796381377689,-24.1792405763283,0.5,-25.0233333333333,0.2,-24.29,"550-8/min",0.1903,0.0144,7.56699947451393,0.126338,0.826815,0.816909,0.116432,-25.0233333333333,0.5,0.2,-24.29,0.464826575476307,0.587252598925256,0.232864,39.6531237879865,0.198265618939933,0.192378057784248,0.99,32.8128485389248,130,26274,28604,27605,27557,130,0.00769230769230769,0.0769230769230769,7.61538461538462,130,0.146503290158773
